Country,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.479,0.483,0.485,0.486,0.492,0.488,0.473,0.462
Albania,0.797,0.795,0.796,0.797,0.8,0.784,0.785,0.789
Algeria,0.736,0.738,0.738,0.74,0.742,0.73,0.74,0.745
Andorra,0.856,0.859,0.86,0.863,0.865,0.843,0.855,0.884
Angola,0.591,0.595,0.597,0.598,0.597,0.594,0.59,0.591
Antigua and Barbuda,0.818,0.822,0.824,0.828,0.831,0.82,0.819,0.826
Argentina,0.85,0.848,0.853,0.852,0.853,0.841,0.844,0.849
Armenia,0.769,0.773,0.775,0.781,0.789,0.769,0.774,0.786
Australia,0.933,0.936,0.937,0.941,0.941,0.948,0.949,0.946
Austria,0.91,0.913,0.914,0.917,0.92,0.916,0.92,0.926
Azerbaijan,0.751,0.752,0.754,0.757,0.762,0.722,0.738,0.76
Bahamas,0.807,0.809,0.812,0.814,0.802,0.798,0.799,0.82
Bahrain,0.859,0.862,0.867,0.88,0.888,0.884,0.884,0.888
Bangladesh,0.604,0.613,0.622,0.636,0.646,0.657,0.662,0.67
Barbados,0.798,0.801,0.803,0.804,0.806,0.803,0.803,0.809
Belarus,0.809,0.809,0.811,0.812,0.81,0.8,0.801,0.801
Belgium,0.924,0.927,0.931,0.933,0.936,0.93,0.938,0.942
Belize,0.714,0.72,0.716,0.715,0.718,0.705,0.698,0.7
Benin,0.509,0.508,0.505,0.506,0.506,0.501,0.502,0.504
Bhutan,0.625,0.635,0.644,0.655,0.668,0.675,0.677,0.681
Bolivia,0.688,0.7,0.707,0.712,0.715,0.691,0.691,0.698
Bosnia and Herzegovina,0.757,0.767,0.77,0.774,0.78,0.776,0.776,0.779
Botswana,0.688,0.697,0.705,0.7,0.703,0.701,0.68,0.708
Brazil,0.752,0.753,0.758,0.762,0.764,0.758,0.756,0.76
Brunei Darussalam,0.832,0.83,0.829,0.826,0.827,0.827,0.824,0.823
Bulgaria,0.809,0.81,0.81,0.811,0.813,0.802,0.796,0.799
Burkina Faso,0.413,0.422,0.432,0.443,0.446,0.446,0.445,0.438
Burundi,0.42,0.423,0.422,0.421,0.423,0.419,0.419,0.42
Cabo Verde,0.658,0.664,0.668,0.664,0.667,0.649,0.65,0.661
Cambodia,0.564,0.573,0.581,0.588,0.596,0.596,0.596,0.6
Cameroon,0.562,0.566,0.574,0.581,0.586,0.585,0.581,0.587
Canada,0.927,0.928,0.929,0.93,0.932,0.928,0.934,0.935
Central African Republic,0.367,0.373,0.379,0.386,0.391,0.389,0.387,0.387
Chad,0.388,0.388,0.389,0.393,0.398,0.396,0.393,0.394
Chile,0.846,0.851,0.854,0.856,0.859,0.849,0.856,0.86
China,0.741,0.749,0.757,0.766,0.775,0.781,0.785,0.788
Colombia,0.758,0.763,0.765,0.766,0.768,0.756,0.752,0.758
Comoros,0.556,0.563,0.571,0.578,0.584,0.588,0.585,0.586
Congo,0.61,0.606,0.6,0.603,0.596,0.598,0.598,0.593
Congo Dem. Rep.,0.457,0.466,0.469,0.474,0.476,0.477,0.475,0.481
Costa Rica,0.792,0.796,0.8,0.804,0.811,0.811,0.804,0.806
Cote d'Ivoire,0.501,0.506,0.515,0.522,0.529,0.53,0.53,0.534
Croatia,0.844,0.85,0.855,0.86,0.866,0.86,0.867,0.878
Cuba,0.765,0.763,0.764,0.765,0.766,0.759,0.742,0.764
Cyprus,0.874,0.881,0.891,0.896,0.901,0.9,0.901,0.907
Czechia,0.891,0.894,0.896,0.893,0.896,0.891,0.891,0.895
Denmark,0.936,0.943,0.944,0.942,0.946,0.946,0.947,0.952
Djibouti,0.473,0.482,0.491,0.499,0.508,0.512,0.512,0.515
Dominica,0.719,0.728,0.709,0.744,0.745,0.738,0.737,0.74
Dominican Republic,0.739,0.759,0.761,0.763,0.765,0.76,0.756,0.766
Ecuador,0.764,0.761,0.762,0.761,0.758,0.734,0.746,0.765
Egypt,0.695,0.702,0.709,0.717,0.724,0.729,0.726,0.728
El Salvador,0.663,0.664,0.667,0.673,0.676,0.666,0.669,0.674
Equatorial Guinea,0.648,0.65,0.65,0.652,0.653,0.65,0.647,0.65
Eritrea,0.473,0.477,0.472,0.482,0.487,0.49,0.49,0.493
Estonia,0.883,0.884,0.886,0.89,0.893,0.891,0.89,0.899
Eswatini,0.577,0.59,0.601,0.613,0.623,0.622,0.612,0.61
Ethiopia,0.455,0.465,0.472,0.479,0.485,0.489,0.489,0.492
Fiji,0.716,0.721,0.728,0.731,0.73,0.722,0.715,0.729
Finland,0.93,0.931,0.934,0.936,0.939,0.939,0.941,0.942
France,0.893,0.896,0.899,0.903,0.905,0.9,0.906,0.91
Gabon,0.692,0.696,0.699,0.699,0.702,0.704,0.687,0.693
Gambia,0.467,0.472,0.477,0.483,0.492,0.492,0.49,0.495
Georgia,0.798,0.802,0.807,0.816,0.816,0.807,0.809,0.814
Germany,0.941,0.941,0.944,0.946,0.951,0.948,0.948,0.95
Ghana,0.586,0.586,0.585,0.589,0.599,0.601,0.6,0.602
